English Name,Tamil Name
"KP- Kathari,Urulai Poriyal","KP - கத்தரிக்காய்,உருளைக்கிழங்கு பொரியல்"
KP- Thattapayithangai Masala Aravai,KP - தட்டப்பயத்தங்காய் மசாலா அரைவை
KP- Urulai Kara Kari,KP - உருளைக்கிழங்கு கார கறி
KP- Urulai Poriyal,KP - உருளைக்கிழங்கு பொரியல்
"KP- Urulai,Carrot,Kudaimilagai Perattal","KP - உருளைக்கிழங்கு,கேரட்,குடைமிளகாய் பிரட்டல்"
"KP- Urulai,Cauliflower Poriyal","KP - உருளைக்கிழங்கு,காளிஃபிளவர் பொரியல்"
"KP- Urulai,Pattani Poriyal","KP - உருளைக்கிழங்கு,பட்டாணி பொரியல்"
"KP- Urulai,Peas Poriyal","KP - உருளைக்கிழங்கு,பட்டாணி பொரியல்"
KP- thatapaithangai Masala,KP - தட்டப்பயத்தங்காய் மசாலா
"KP-Cabbage,Rajma Poriyal","KP - முட்டைக்கோஸ்,ராஜ்மா பொரியல்"
"KP-Carrot, Pachai Pattani Poriyal","KP - கேரட், பச்சை பட்டாணி பொரியல்"
KP-Kanja Pattani Masala,KP - கஞ்சி பட்டாணி மசாலா
KP-Kathari Mochai Poriyal,KP - கத்தரிக்காய் மொச்சை பொரியல்
KP-Kathari Thengai Poriyal,KP - கத்தரிக்காய் தேங்காய் பொரியல்
"KP-Kathari,Murungai Poriyal","KP - கத்தரிக்காய்,முருங்கை பொரியல்"
"KP-Kathari,Murungai,Thattapayaru Poriyal","KP - கத்தரிக்காய்,முருங்கை,தட்டப்பயறு பொரியல்"
"KP-Kathiri, Pachai Mochai Pirattal","KP - கத்தரிக்காய், பச்சை மொச்சை பிரட்டல்"
KP-Kos Ko.Kadalai Poriyal,KP - கோஸ் Ko.Kadalai பொரியல்
KP-Kos Soyabean Poriyal,KP - கோஸ் சோயாபீன் பொரியல்
KP-Kothavarangai Masala,KP - கொத்தவரங்காய் மசாலா
KP-Mochai Masala,KP - மொச்சை மசாலா
"KP-Potato,Mealmaker Perattal","KP - உருளைக்கிழங்கு,மீல்மேக்கர் பிரட்டல்"
"KP-Urulai, Carrot, Dry Peas Poriyal","KP - உருளைக்கிழங்கு, கேரட், உலர் பட்டாணி பொரியல்"
"KP-Urulai, Carrot, Peas Poriyal","KP - உருளைக்கிழங்கு, கேரட், பட்டாணி பொரியல்"
"KP-Urulai,Carrot,Cauliflower Poriyal","KP - உருளைக்கிழங்கு,கேரட்,காளிஃபிளவர் பொரியல்"
"KP-Urulai,Carrot,Channa Poriyal(No Onion)","KP - உருளைக்கிழங்கு,கேரட்,சென்னா பொரியல்(வெங்காயம் இல்லாத வெங்காயம்)"
"KP-Urulai,Cauliflower,Pattani Poriyal","KP - உருளைக்கிழங்கு,காளிஃபிளவர்,பட்டாணி பொரியல்"
"KP-Urulai,Kondaikadalai Poriyal","KP - உருளைக்கிழங்கு,கொண்டைக்கடலை பொரியல்"
"KP-Urulai,cauliflower,Carrot,Pattani Poriyal","KP - உருளைக்கிழங்கு,காளிஃபிளவர்,கேரட்,பட்டாணி பொரியல்"
KP-Vendaikkai Podi Poriyal,KP - வெண்டைக்காய் பொடி பொரியல்
KP-Vendaikkai Poriyal,KP - வெண்டைக்காய் பொரியல்
"KPC - Baby Urulai, Kalan Pirattal","KPC - பேபி உருளைக்கிழங்கு, காளான் பிரட்டல்"
"KPC - Carrot, Double Beans Perattal","KPC - கேரட், டபுள் பீன்ஸ் பிரட்டல்"
"KPC - Carrot, Pilakottai Pirattal","KPC - கேரட், பலாக்கொட்டை பிரட்டல்"
KPC - Perattal Aravai,KPC - பிரட்டல் அரைவை
"KPC - Urulai,Beetroot,Cauliflower Pirattal","KPC - உருளைக்கிழங்கு,பீட்ரூட்,காளிஃபிளவர் பிரட்டல்"
"KPC - Urulai,Beetroot,Pattani Perattal","KPC - உருளைக்கிழங்கு,பீட்ரூட்,பட்டாணி பிரட்டல்"
"KPC- Beetroot, Carrot,Pattani Perattal","KPC - பீட்ரூட், கேரட்,பட்டாணி பிரட்டல்"
KPC- Kalakos Perattal,KPC - காலகோஸ் பிரட்டல்
KPC- Mochai Perattal,KPC - மொச்சை பிரட்டல்
"KPC- Urulai,Cauliflower,Carrot,Butter Beans Perattal","KPC - உருளைக்கிழங்கு,காளிஃபிளவர்,கேரட்,வெண்ணெய் பீன்ஸ் பிரட்டல்"
KPC-Beetroot Pirattal,KPC - பீட்ரூட் பிரட்டல்
"KPC-Beetroot,Channa Pirattal","KPC - பீட்ரூட்,சென்னா பிரட்டல்"
"KPC-Beetroot,Double Beans Perattal","KPC - பீட்ரூட்,டபுள் பீன்ஸ் பிரட்டல்"
KPC-Channa Pirattal,KPC - சென்னா பிரட்டல்
"KPC-Chinna Urlai,Kalan, Butter Beans  Pirattal","KPC - சின்ன உருளைக்கிழங்கு,காளான், வெண்ணெய் பீன்ஸ் பிரட்டல்"
KPC-Mixed Veg. Pirattal,KPC - கலவை Veg. பிரட்டல்
KPC-Rajma Pirattal,KPC - ராஜ்மா பிரட்டல்
"KPC-Urulai, Carrot, Kaalan Pirattal","KPC - உருளைக்கிழங்கு, கேரட், காளான் பிரட்டல்"
"KPC-Urulai,Carrot,Beans Perattal","KPC - உருளைக்கிழங்கு,கேரட்,பீன்ஸ் பிரட்டல்"
"KPC-Urulai,Carrot,Cauliflower,Pattani Perattal","KPC - உருளைக்கிழங்கு,கேரட்,காளிஃபிளவர்,பட்டாணி பிரட்டல்"
"KPC-Urulai,Carrot,Kondaikadalai Perattal","KPC - உருளைக்கிழங்கு,கேரட்,கொண்டைக்கடலை பிரட்டல்"
"KPC-Urulai,Carrot,Pattani Perattal","KPC - உருளைக்கிழங்கு,கேரட்,பட்டாணி பிரட்டல்"
KPF - Raw Plantain Fry,KPF - பச்சை வாழைப்பழம் வறுவல்
KPF - Sembu Fry,KPF - சேப்பங்கிழங்கு வறுவல்
KPF - Urulai Fry,KPF - உருளைக்கிழங்கு வறுவல்
KPF - Yam Fry,KPF - சேனைக்கிழங்கு வறுவல்
KPF - Yam Varuval,KPF - சேனைக்கிழங்கு வறுவல்
KPF-Urulai Karuvattu Poriyal,KPF - உருளைக்கிழங்கு கருவாட்டு பொரியல்
Kanchipuram Idly Thalippu,காஞ்சிபுரம் இட்லி தாளிப்பு
Kandharappam,கந்தரப்பம்
Karuveppilai Podi,கருவேப்பிலை பொடி
Kashayam-Nilavembu,Kashayam - நிலவேம்பு
Kerala- Kadalai Kai Thalippu,Kerala - கடலை காய் தாளிப்பு
Kerala- Kos Thoran,Kerala - கோஸ் தோரன்
Kerala- Papadam,Kerala - அப்பளம்
Kerala-Inji Puli,Kerala - இஞ்சி புளி
Kerala-Inji Puli Thalippu,Kerala - இஞ்சி புளி தாளிப்பு
Kerala-Kadalai Kari,Kerala - கடலை கறி
Kerala-Kadalai Kari Aravai,Kerala - கடலை கறி அரைவை
Kerala-Kos Thoran Thalippu,Kerala - கோஸ் தோரன் தாளிப்பு
Kerala-Sakkara varatti,Kerala - சர்க்கரை வரட்டி
Kerela - Eriseri,Kerela - எரிசேரி
Kerela - Eriseri Aravai,Kerela - எரிசேரி அரைவை
Kerela - Eriseri Thaalippu,Kerela - எரிசேரி தாளிப்பு
Kerela - Eriseru Aravai,Kerela - எரிசேரி அரைவை
Kerela - Kaalan,Kerela - காளான்
Kerela - Kaalan Aravai,Kerela - காளான் அரைவை
Kerela - Kaalan Thaalippu,Kerela - காளான் தாளிப்பு
Kerela - Kadalai Curry,Kerela - கடலை கறி
Kerela - Kadalai Curry Aravai,Kerela - கடலை கறி அரைவை
Kerela - Kadalai Curry Tempering,Kerela - கடலை கறி தாளிப்பு
Kerela - Parippu Curry,Kerela - பருப்பு கறி
Kerela - Varuthu Araitha Sambar,Kerela - வறுத்து அரைத்த சாம்பார்
Kerela - Varuthu Araitha Sambar Aravai,Kerela - வறுத்து அரைத்த சாம்பார் அரைவை
Kerela - Varuthu Araitha Sambar Thaalippu,Kerela - வறுத்து அரைத்த சாம்பார் தாளிப்பு
Kerela - Yam Koottu Curry,Kerela - சேனைக்கிழங்கு கூட்டு கறி
Kicchadi- Semia Kichadi,Kicchadi - சேமியா கிச்சடி
Kicchidi - Kuthiraivali Veg Kicchidi,Kicchidi - குதிரைவாலி காய்கறி கிச்சடி
Kicchidi - Rava Kicchidi,Kicchidi - ரவா கிச்சடி
Kicchidi - Samai Kicchidi,Kicchidi - சாமை கிச்சடி
Kicchidi - Thinai Veg. Kicchidi,Kicchidi - தினை Veg. கிச்சடி
Kicchidi - Varagu Murungaikeerai,Kicchidi - வரகு முருங்கைக்கீரை
Kolkatta Aloo Subji,கொல்கத்தா உருளைக்கிழங்கு சப்ஜி
Kootu - 7 Kaai Kootu,Kootu - 7 காய் கூட்டு
Kootu - 7 Kaai Kootu,Kootu - 7 காய் கூட்டு
Kootu - Chow Chow,Kootu - சௌசௌ சௌசௌ
"Kootu - Keerai, Kadalai Paruppu","Kootu - கீரை, கடலை பருப்பு"
"Kootu - Keerai,Pasiparuppu","Kootu - கீரை,பாசிப்பருப்பு"
Kootu - Mor Kootu Aravai,Kootu - மோர் கூட்டு அரைவை
Kootu - Pagarkaai Pitlai Aravai,Kootu - பாகற்காய் பிட்லை அரைவை
Kootu - Pagarkai Pitlai,Kootu - பாகற்காய் பிட்லை
Kootu - Peerkangaai Pitlai,Kootu - பீர்க்கங்காய் பிட்லை
Kootu - Poosani,Kootu - பூசணி
Kootu - Poosani Palakat,Kootu - பூசணி பாலக்காடு
Kootu - Poosani Palakat Aravai,Kootu - பூசணி பாலக்காடு அரைவை
Kootu - Poosani Palakat Thaalippu,Kootu - பூசணி பாலக்காடு தாளிப்பு
Kootu - Snakegourd Pitlai,Kootu - புடலங்காய் பிட்லை
Kootu - Vazhaithandu (N),Kootu - வாழைத்தண்டு (N)
Kootu - Vazhaithandu Kootu Thalippu,Kootu - வாழைத்தண்டு கூட்டு தாளிப்பு
Kootu New - Snakegourd,Kootu New - புடலங்காய்
Kootu- Arachu Vitta Kootu Suraikkai,Kootu - அரைத்து விட்ட கூட்டு சுரைக்காய்
Kootu- Arachu Vitta Kootu Thalippu,Kootu - அரைத்து விட்ட கூட்டு தாளிப்பு
Kootu- Arachu vitta Suraikkai Kootu Aravai,Kootu - அரைத்து விட்ட சுரைக்காய் கூட்டு அரைவை
Kootu- Mullangi,Kootu - முள்ளங்கி
Kootu- Palakaai,Kootu - பலாக்காய்
Kootu- Suraikkai,Kootu - சுரைக்காய்
Kootu-Chow Chow Mor Kootu,Kootu - சௌசௌ சௌசௌ மோர் கூட்டு
"Kootu-Keerai, Mangai Kadayal","Kootu - கீரை, மாங்காய் கடையல்"
Kootu-Kos,Kootu - கோஸ்
Kootu-Palak Keerai Kadaiyal,Kootu - பாலக் கீரை கடையல்
Kootu-Parangikkaai,Kootu - பரங்கிக்காய்
Kootu-Paruppu Keerai Kadaiyal,Kootu - பருப்பு கீரை கடையல்
Kootu-Pudalai,Kootu - புடலை
Kootu-Vendhaya Keerai Kadaiyal,Kootu - வெந்தய கீரை கடையல்
Kumbakonam Pickle,கும்பகோணம் ஊறுகாய்
Kurma - Channa Kurma,Kurma - சென்னா குருமா
Kurma - Parota Kruna Aravai Red,Kurma - பரோட்டா கருணை அரைவை சிவப்பு
Kurma - Parota Kurma Red,Kurma - பரோட்டா குருமா சிவப்பு
Kurma - Potato Kurma,Kurma - உருளைக்கிழங்கு குருமா
Kurma - Potato Kurma Red,Kurma - உருளைக்கிழங்கு குருமா சிவப்பு
"Kurma- Paneer,Peas  Kurma","Kurma - பன்னீர்,பட்டாணி குருமா"
Kurma- Parota Kurma Aravai,Kurma - பரோட்டா குருமா அரைவை
Kurma- Veg Kurma,Kurma - காய்கறி குருமா
Kurma- Veg Kurma (Rich),Kurma - காய்கறி குருமா (ரிச்)
Kurma- Veg Kurma(Rich) Aravai,Kurma - காய்கறி குருமா(ரிச்) அரைவை
Kurma-Tomato Kurma,Kurma - தக்காளி குருமா
Layer Chapathi,லேயர் சப்பாத்தி
Leaf - Tiffin Thattu Ilai,Leaf - டிபன் தட்டு இலை
Leaf - Yaedu,Leaf - ஏடு
Leaf- Round Ilai,Leaf - ரவுண்ட் இலை
Leaf- Sappattu Ilai,Leaf - சாப்பாடு இலை
Leaf-Tiffin Ilai,Leaf - டிபன் இலை
Live - Masal Siyum,Live - மசால் சீயம்
Live Filter Coffee,Live - வடிகட்டிய காபி
Live Item Charge-BF,Live Item Charge - காலை உணவு
Live Item Charges,Live - பொருள் கட்டணம்
Live Poori,Live - பூரி
Live-Medhu vadai,Live - மெது வடை
Lunch Sambar Tempering,மதிய உணவு சாம்பார் தாளிப்பு
Lunch Service Vessel,மதிய உணவு பரிமாறும் பாத்திரம்
MAAVU - ARISI PARUPPU UPMA,MAAVU - அரிசி பருப்பு உப்புமா
MK - Andhra Mor Kuzhambu,MK - ஆந்திரா மோர் குழம்பு
MK - Andhra Mor Kuzhambu Tempering,MK - ஆந்திரா மோர் குழம்பு தாளிப்பு
MK - Apple Mor Kuzhambu,MK - ஆப்பிள் மோர் குழம்பு
MK - Bonda Mor Kuzhambu,MK - போண்டா மோர் குழம்பு
MK - Mambazbu Mor Kuzhambu,MK - மாம்பழ மோர் குழம்பு
MK - Mixed Veg Mor Kuzhambu,MK - கலவை காய்கறி மோர் குழம்பு
MK - Mor Kuzhambu Thaalippu,MK - மோர் குழம்பு தாளிப்பு
MK - Morkuzhambu Aravai,MK - மோர்குழம்பு அரைவை
MK - Pakoda Mor Kuzhambu,MK - பக்கோடா மோர் குழம்பு
MK - Poosani Mor Kuzhambu,MK - பூசணி மோர் குழம்பு
MK - Sembu Mor Kuzhambu,MK - சேப்பங்கிழங்கு மோர் குழம்பு
MK-Kovakkai Mor Kuzhambu,MK - கோவக்காய் மோர் குழம்பு
MK-Kudaimilakaai Mor Kuzhambu,MK - குடைமிளகாய் மோர் குழம்பு
MK-Paruppu Urundai Morkuzhambu,MK - பருப்பு உருண்டை மோர்குழம்பு
MK-Vendaikkai Mor Kuzhambu,MK - வெண்டைக்காய் மோர் குழம்பு
"Maavu - Bonda, Siyum Veli Maavu","Maavu - போண்டா, சீயம் வெளி மாவு"
Maavu - Idly Maavu (285),Maavu - இட்லி மாவு (285)
Maavu- Vendhaya Dosai Mavu,Maavu - வெந்தய தோசை மாவு
Maavu- Venthaya Dosai Maavu,Maavu - வெந்தய தோசை மாவு
Maavu-Adai Mavu,Maavu - அடை மாவு
Maavu-Poongar Dosai Mavu,Maavu - பூங்கார் தோசை மாவு
Manchurian - Gobi,Manchurian - கோபி
Mandi - Agathi Keerai Mandi,Mandi - அகத்தி கீரை மண்டி
"Mandi - Bittergourd, Channa","Mandi - பாகற்காய், சென்னா"
"Mandi - Carrot, Double Beans","Mandi - கேரட், டபுள் பீன்ஸ்"
"Mandi - Carrot, Mango, Channa Mandi","Mandi - கேரட், மாங்காய், சென்னா மண்டி"
"Mandi - Carrot, Mango, SoyaBean","Mandi - கேரட், மாங்காய், சோயாபீன்"
Mandi - Coconut Milk Mango Curry,Mandi - தேங்காய் பால் மாங்காய் கறி
Mandi - Coconut Milk Mango Curry Thalippu,Mandi - தேங்காய் பால் மாங்காய் கறி தாளிப்பு
"Mandi - Kudamilagaai, DoubleBeans Mandi","Mandi - குடைமிளகாய், டபுள் பீன்ஸ் மண்டி"
Mandi - Lady'sfinger Mandi,Mandi - Lady'sfinger மண்டி
"Mandi - Maa Ginger, Channa Mandi","Mandi - மா இஞ்சி, சென்னா மண்டி"
Mandi - Mandi Thalippu,Mandi - மண்டி தாளிப்பு
"Mandi - MangoGinger, Groundnut Mandi","Mandi - மாங்காய் இஞ்சி, வேர்க்கடலை மண்டி"
Mandi - Milagaai Mandi,Mandi - மிளகாய் மண்டி
"Mandi - Pagarkkaai, Nilakadalai","Mandi - பாகற்காய், நிலக்கடலை"
Mandi - Palakaai Mandi,Mandi - பலாக்காய் மண்டி
Mandi - Pumpkin Puli Curry,Mandi - பரங்கிக்காய் புளி கறி
Mandi - Pumpkin Puli Curry Podi,Mandi - பரங்கிக்காய் புளி கறி பொடி
"Mandi- Kondaikadalai,Kudai Milagai Mandi","Mandi - கொண்டைக்கடலை,குடை மிளகாய் மண்டி"
"Mandi- Kudaimilagai, Nilakkadalai Mandi","Mandi - குடைமிளகாய், நிலக்கடலை மண்டி"
"Mandi- Maa Inji,Kondaikadalai,Kudai Milagai Mandi","Mandi - மா இஞ்சி,கொண்டைக்கடலை,குடை மிளகாய் மண்டி"
"Mandi- Vendaikkai, Kondaikadalai","Mandi - வெண்டைக்காய், கொண்டைக்கடலை"
"Mandi-Bajji Milagaai, Double Beans","Mandi - பஜ்ஜி மிளகாய், டபுள் பீன்ஸ்"
"Mandi-Carrot, Nilakkadalai Mandi","Mandi - கேரட், நிலக்கடலை மண்டி"
"Mandi-Kathari,Urulai Mandi","Mandi - கத்தரிக்காய்,உருளைக்கிழங்கு மண்டி"
"Mandi-Kathiri, Mochai","Mandi - கத்தரிக்காய், மொச்சை"
"Mandi-Kudai Milagai,Soyabean Mandi","Mandi - குடை மிளகாய்,சோயாபீன் மண்டி"
"Mandi-Maa Ginger, Nilakadalai Mandi","Mandi - மா இஞ்சி, நிலக்கடலை மண்டி"
"Mandi-Maa Inji,Nilakadalai, Kudai Milagai","Mandi - மா இஞ்சி,நிலக்கடலை, குடை மிளகாய்"
"Mandi-Parangikaai, Nilakadalai","Mandi - பரங்கிக்காய், நிலக்கடலை"
"Mandi-Sarkaraivalli, Nilakadalai","Mandi - சர்க்கரைவள்ளி, நிலக்கடலை"
"Mandi-Vendai,Mango,Mochai","Mandi - வெண்டை,மாங்காய்,மொச்சை"
Mandi-Vendaikaai,Mandi - வெண்டைக்காய்
"Mandi-Vendaikkai,Mochai","Mandi - வெண்டைக்காய்,மொச்சை"
"Mandi-Vendaikkai,Nilakkadalai","Mandi - வெண்டைக்காய்,நிலக்கடலை"
"Mandi-Vendi, Rajma Mandi","Mandi - வெண்டை, ராஜ்மா மண்டி"
Mango Ginger Thuvayal,மாங்காய் இஞ்சி துவையல்
Masal Dosa Paneer,மசால் தோசை பன்னீர்
Masala Poori,மசாலா பூரி
Masala dosa Corn,மசாலா தோசை கார்ன்
Masiyal - Karunaikizhangu Masiyal,Masiyal - கருணைக்கிழங்கு மசியல்
Masiyal- Seppangizhangu,Masiyal - சேப்பங்கிழங்கு
Mavadu Inji Pickle,மாவடு இஞ்சி ஊறுகாய்
Mavu - Chinna Chola Dosai,Mavu - சின்ன சோள தோசை
Mavu - Keppai Dosa,Mavu - கேப்பை தோசை
Mavu- Arisi Upma Mavu,Mavu - அரிசி உப்புமா மாவு
Mavu- Bajji Mavu,Mavu - பஜ்ஜி மாவு
Mavu- Manchurian Mavu,Mavu - மஞ்சூரியன் மாவு
Mavu- Mysore Bonda,Mavu - மைசூர் போண்டா
Mavu- Neer Dosai Mavu,Mavu - நீர் தோசை மாவு
Mavu- Rava Dosa Mix,Mavu - ரவா தோசை கலவை
Mavu- Vadai Mavu,Mavu - வடை மாவு
Mavu-65 Mavu,Mavu - 65 மாவு
Mavu-Appa Mavu,Mavu - அப்ப மாவு
Mavu-Baby corn Manchurian Mavu,Mavu - பேபி கார்ன் மஞ்சூரியன் மாவு
Mavu-Chola Dosa Mavu,Mavu - சோள தோசை மாவு
Mavu-Idly Kattu Yanam,Mavu - இட்லி கட்டு யானம்
Mavu-Idly Maavu,Mavu - இட்லி மாவு
Mavu-Idly Mavu (290),Mavu - இட்லி மாவு (290)
Mavu-Idly Mavu (310),Mavu - இட்லி மாவு (310)
Mavu-Idly Mavu(250),Mavu - இட்லி மாவு(250)
Mavu-Idly Thooyamalli,Mavu - இட்லி தூயமல்லி
Mavu-Idly mavu (275),Mavu - இட்லி மாவு (275)
Mavu-Javvarisi Dosai Mavu,Mavu - ஜவ்வரிசி தோசை மாவு
Mavu-Kambu dosa Mavu,Mavu - கம்பு தோசை மாவு
Mavu-Kandharappa Mavu,Mavu - கந்தரப்ப மாவு
Mavu-Karkandu Vadai Mavu,Mavu - கற்கண்டு வடை மாவு
Mavu-Karunguruvai Dosa Mavu,Mavu - கருங்குருவை தோசை மாவு
Mavu-Kattuyanam Dosai Mavu,Mavu - காட்டுயானம் தோசை மாவு
Mavu-Kattuyanam Upma Mavu,Mavu - காட்டுயானம் உப்புமா மாவு
Mavu-Keppai Idly Mavu,Mavu - கேப்பை இட்லி மாவு
Mavu-Kuzhi Paniyara Mavu,Mavu - குழி பணியார மாவு
Mavu-Mappillai Samba  Dosai Mavu,Mavu - மாப்பிள்ளை சம்பா தோசை மாவு
Mavu-Masal Siyum Mavu,Mavu - மசால் சீயம் மாவு
Mavu-Mavu urndai Mavu,Mavu - மாவு உருண்டை மாவு
Mavu-Mini Idly,Mavu - மினி இட்லி
Mavu-Multi Grain Dosai Mavu,Mavu - மல்டி தானியம் தோசை மாவு
Mavu-Navara Dosai Mavu,Mavu - நவரா தோசை மாவு
Mavu-Navara Upma Mavu,Mavu - நவரா உப்புமா மாவு
Mavu-Pidi Kozhukkattai Maavu,Mavu - பிடி கொழுக்கட்டை மாவு
Mavu-Samai dosai Mavu,Mavu - சாமை தோசை மாவு
Mavu-Sponge Dosai Mavu,Mavu - ஸ்பாஞ்ச் தோசை மாவு
Mavu-Stuffing Bonda mavu,Mavu - ஸ்டஃப்பிங் போண்டா மாவு
Mavu-Thooyamalli Idly Mavu,Mavu - தூயமல்லி இட்லி மாவு
Mavu-Uthappa Mavu,Mavu - ஊத்தப்பம் மாவு
Mavu-Varagu Dosai Maavu,Mavu - வரகு தோசை மாவு
Mavu-Ve.Paniyara Mavu,Mavu - Ve.Paniyara மாவு
Millets-Keppai Idly,Millets - கேப்பை இட்லி
Mysore Pa,மைசூர் பாக்
NAVARA IDKY MAAVU,நவரா இட்லி மாவு
Nattu Sakkarai,நாட்டு சர்க்கரை
Noodles - Noodles Pasta,Noodles - நூடுல்ஸ் பாஸ்தா
Noodles- Veg Noodles,Noodles - காய்கறி நூடுல்ஸ்
Nuggets Coating,நக்கெட்ஸ் கோட்டிங்
ON Garlic Podi Thattu Idly,பூண்டு பொடி தட்டு இட்லி
ON PARUPPU NEI (MOONG DAL),பருப்பு நெய் (பாசி பருப்பு)
ONLINE - THATTU IDLY PLAIN,ONLINE - தட்டு இட்லி ப்ளெய்ன்
ONLINE - Thooyamalli Thattu Idly,ONLINE - தூயமல்லி தட்டு இட்லி
ONLINE ADAI DOSAI,ONLINE - அடை தோசை
ONLINE Adai,ONLINE - அடை
ONLINE PARCEL,ONLINE - பார்சல்
ONLINE POORI,ONLINE - பூரி
ORDER-Adai,ORDER - அடை
Olan,ஓலன்
Onion Base Gravy,வெங்காயம் பேஸ் கிரேவி
Onion Gravy (Yellow),வெங்காயம் கிரேவி (மஞ்சள்)
Online - Medhu Vada,Online - மெது வடை
Order - Applam,Order - அப்பளம்
Order - Heartin Idly,Order - ஹார்டின் இட்லி
Order - Idly,Order - இட்லி
Order - Milagai chutney,Order - மிளகாய் சட்னி
Order - Mini Poori,Order - மினி பூரி
Order - Tea (WO Sugar),Order - தேநீர் (இல்லாமல் சர்க்கரை)
Order - Tiffin Sambar (No Onion),Order - டிபன் சாம்பார் (வெங்காயம் இல்லாத வெங்காயம்)
Order - Tiffin Sambar 3,Order - டிபன் சாம்பார் 3
Order - Ulundhu Vadai,Order - உளுந்து வடை
Order- Dily Mini,Order - இட்லி மினி
Order- Poori,Order - பூரி
Order- Thattu Idly,Order - தட்டு இட்லி
Order-Buttermilk,Order - மோர்
Order-Curd,Order - தயிர்
Order-Filter Coffee,Order - வடிகட்டிய காபி
Order-Filter Coffee W/O Sugar,Order - வடிகட்டிய காபி W/O சர்க்கரை
Order-Filter Coffee early,Order - வடிகட்டிய காபி காலை
Order-Garlic Pickle,Order - பூண்டு ஊறுகாய்
Order-Medhu Vadai,Order - மெது வடை
Order-Medhu Vadai (W/O Onion),Order - மெது வடை (W/O வெங்காயம்)
Order-Mini Idly,Order - மினி இட்லி
Order-Pongal,Order - பொங்கல்
Order-Tea,Order - தேநீர்
Order-Tiffin Sambar,Order - டிபன் சாம்பார்
Order-Tiffin Sambar 2,Order - டிபன் சாம்பார் 2
Order-Tiffin Sambar(GC),Order - டிபன் சாம்பார்(ஜிசி)
P - Ada Pradhaman,P - அடை பிரதமன்
P - Arisi Payasam,P - அரிசி பாயாசம்
P - Aval Payasam Jaggery,P - அவல் பாயாசம் வெல்லம்
P - Aval Payasam Sugar,P - அவல் பாயாசம் சர்க்கரை
P - Badham Kheer,P - பாதாம் பாயாசம்
P - Carrot Kheer,P - கேரட் பாயாசம்
"P - Carrot, Semiya Payasa","P - கேரட், சேமியா பாயாசம்"
P - Cucumber Payasam,P - வெள்ளரிக்காய் பாயாசம்
P - Javurisi Payasam,P - ஜவ்வரிசி பாயாசம்
"P - Javurisi, Semiya Payasam Jaggery","P - ஜவ்வரிசி, சேமியா பாயாசம் வெல்லம்"
"P - Javurisi, Semiya Payasam Sugar","P - ஜவ்வரிசி, சேமியா பாயாசம் சர்க்கரை"
P - Kadalai Paruppu Payasa,P - கடலை பருப்பு பாயாசம்
P - Kavuni Arisi Payasam,P - கவுனி அரிசி பாயாசம்
P - Koozh Payasam,P - கூழ் பாயாசம்
P - Kuruvai Arisi Payasa,P - குருவை அரிசி பாயாசம்
P - Milk Payasam,P - பால் பாயாசம்
P - Moongdhal Payasam Milk,P - பாசிப்பருப்பு பாயாசம் பால்
P - Moongdhall Payasam (Coconut Milk),P - பாசிப்பருப்பு பாயாசம் (தேங்காய் பால்)
P - Mukoottu Payasam,P - முக்கூட்டு பாயாசம்
P - Oats Payasam Jaggery,P - ஓட்ஸ் பாயாசம் வெல்லம்
P - Paal Payasam,P - பால் பாயாசம்
P - Payasam Thalippu,P - பாயாசம் தாளிப்பு
P - Pazha Pradhaman,P - பழ பிரதமன்
P - Rava Payasam,P - ரவா பாயாசம்
P - Semiya Paal Payasam,P - சேமியா பால் பாயாசம்
P - Wheat Rava Payasam,P - கோதுமை ரவா பாயாசம்
P-Pazha Payasam,P - பழ பாயாசம்
P-Pazha Payasam Milk Boiling,P - பழ பாயாசம் பால் வேகவைத்தல்
PMD - 3 TASTE UTHAPPAM,PMD - 3 சுவை ஊத்தப்பம்
PMD - Benne Masal Dosa,PMD - வெண்ணெய் மசால் தோசை
PMD - Benne Masal Dosa Masala,PMD - வெண்ணெய் மசால் தோசை மசாலா
PMD - Chinna Cholam Dosai,PMD - சின்ன சோளம் தோசை
PMD - Kuzhi Idiyappam,PMD - குழி இடியாப்பம்
PMD - Lemon Idiyappam,PMD - எலுமிச்சை இடியாப்பம்
PMD - MALLI IDIYAPPAM ARAVAI,PMD - மல்லி இடியாப்பம் அரைவை
PMD - MASAL DOSAI,PMD - மசால் தோசை
PMD - MASAL DOSAI POTATO,PMD - மசால் தோசை உருளைக்கிழங்கு
PMD - MASALA MINI IDLY,PMD - மசாலா மினி இட்லி
PMD - NAVARA MINI IDLY,PMD - நவரா மினி இட்லி
PMD - NO SALT IDIYAPPAM,PMD - வெங்காயம் இல்லாத உப்பு இடியாப்பம்
PMD - ON ONION UTHAPPAM,PMD - வெங்காயம் ஊத்தப்பம்
PMD - ON PODI UTHAPPAM,PMD - பொடி ஊத்தப்பம்
PMD - ON VEG UTHAPPAM,PMD - காய்கறி ஊத்தப்பம்
PMD - ONION UTHAPPAM,PMD - வெங்காயம் ஊத்தப்பம்
PMD - Onion Podi Dosai,PMD - வெங்காயம் பொடி தோசை
PMD - Onion Podi Uthappam,PMD - வெங்காயம் பொடி ஊத்தப்பம்
PMD - Onion Uthappam (Big),PMD - வெங்காயம் ஊத்தப்பம் (பெரிய)
